n,bc,num_threads,mergesort_time,stl_sort_time,speedup
1000000,21400,8,0.0323969,0.165687,5.11427
1000000,21500,8,0.0335277,0.165955,4.9498
1000000,21600,8,0.0286162,0.16597,5.79985
1000000,21700,8,0.0326908,0.166999,5.10844
1000000,21800,8,0.0292869,0.167421,5.71659
1000000,21900,8,0.0295298,0.167508,5.67249
1000000,22000,8,0.0340456,0.167461,4.91871
1000000,22100,8,0.0312901,0.167586,5.35588
1000000,22200,8,0.0315873,0.167431,5.30057
1000000,22300,8,0.0324355,0.167404,5.16112
1000000,22400,8,0.0307372,0.167057,5.43503
1000000,22500,8,0.0301331,0.167146,5.54692
1000000,22600,8,0.0338096,0.166657,4.92929
1000000,22700,8,0.031557,0.167108,5.29545
1000000,22800,8,0.0317838,0.166459,5.23721
1000000,22900,8,0.0338249,0.167335,4.94709
1000000,23000,8,0.0310158,0.166172,5.35766
1000000,23100,8,0.0324734,0.16602,5.11249
1000000,23200,8,0.0319163,0.167247,5.24017
1000000,23300,8,0.0309525,0.166356,5.37457
1000000,23400,8,0.0325373,0.166181,5.1074
1000000,23500,8,0.0315493,0.167249,5.3012
1000000,23600,8,0.0310156,0.167035,5.38552
1000000,23700,8,0.0306432,0.167527,5.46704
1000000,23800,8,0.0301426,0.167278,5.54954
1000000,23900,8,0.0287541,0.167056,5.80982
1000000,24000,8,0.0310214,0.167139,5.38787
1000000,24100,8,0.0289734,0.167096,5.76724
1000000,24200,8,0.0309591,0.167417,5.40769
1000000,24300,8,0.0326883,0.167217,5.11549
1000000,24400,8,0.0290805,0.167557,5.76181
1000000,24500,8,0.0313614,0.167019,5.32562
1000000,24600,8,0.0313706,0.167262,5.33181
1000000,24700,8,0.0318912,0.166514,5.22132
1000000,24800,8,0.0332849,0.166221,4.99388
1000000,24900,8,0.0295074,0.166147,5.63069
1000000,25000,8,0.0314437,0.166134,5.28353
1000000,25100,8,0.034707,0.165958,4.78169
1000000,25200,8,0.0320679,0.166122,5.18032
1000000,25300,8,0.0306328,0.167312,5.46188
1000000,25400,8,0.0354249,0.167031,4.71507
1000000,25500,8,0.032095,0.167324,5.21338
1000000,25600,8,0.0311334,0.167359,5.37554
1000000,25700,8,0.0334315,0.167416,5.00774
1000000,25800,8,0.0301705,0.167126,5.53937
1000000,25900,8,0.0328735,0.167438,5.09341
1000000,26000,8,0.0328733,0.166422,5.06252
1000000,26100,8,0.0312735,0.165693,5.29818
1000000,26200,8,0.0311084,0.165763,5.32856
1000000,26300,8,0.0329193,0.167339,5.08332
1000000,26400,8,0.03496,0.167296,4.78537
1000000,26500,8,0.032671,0.168265,5.15029
1000000,26600,8,0.0389541,0.168633,4.32903
1000000,26700,8,0.0312076,0.167406,5.36428
1000000,26800,8,0.0322683,0.1678,5.20015
1000000,26900,8,0.0313272,0.167608,5.35026
1000000,27000,8,0.0312795,0.167182,5.34476
1000000,27100,8,0.0309118,0.166893,5.39899
1000000,27200,8,0.0310865,0.165707,5.33051
1000000,27300,8,0.0292806,0.167003,5.70353
1000000,27400,8,0.0313732,0.165886,5.28751
1000000,27500,8,0.0326206,0.165692,5.07935
1000000,27600,8,0.0308022,0.167263,5.43024
1000000,27700,8,0.0316969,0.165798,5.23073
1000000,27800,8,0.0312243,0.166223,5.32352
1000000,27900,8,0.0319401,0.166006,5.19742
1000000,28000,8,0.0331793,0.166062,5.00498
1000000,28100,8,0.0338937,0.166011,4.898
1000000,28200,8,0.0313802,0.167243,5.32957
1000000,28300,8,0.031764,0.167337,5.26812
1000000,28400,8,0.0309958,0.166131,5.35977
1000000,28500,8,0.0316984,0.165827,5.2314
1000000,28600,8,0.0334089,0.166062,4.97058
1000000,28700,8,0.0318739,0.167203,5.24577
1000000,28800,8,0.0340014,0.166443,4.8952
1000000,28900,8,0.0321382,0.166375,5.17685
1000000,29000,8,0.0338185,0.166559,4.9251
1000000,29100,8,0.0326662,0.166842,5.10746
1000000,29200,8,0.034091,0.166773,4.89199
1000000,29300,8,0.0348021,0.167748,4.82005
1000000,29400,8,0.0332434,0.166056,4.99516
1000000,29500,8,0.0336424,0.166622,4.95273
1000000,29600,8,0.0334966,0.166685,4.97617
1000000,29700,8,0.0327595,0.167917,5.12575
1000000,29800,8,0.029178,0.167841,5.7523
1000000,29900,8,0.0328229,0.166727,5.07959
1000000,30000,8,0.0323896,0.166865,5.15181
1000000,30100,8,0.0301391,0.167149,5.54591
1000000,30200,8,0.0312674,0.166806,5.33481
1000000,30300,8,0.0293359,0.166039,5.65992
1000000,30400,8,0.0325948,0.165938,5.09095
1000000,30500,8,0.0318066,0.16664,5.23916
1000000,30600,8,0.0318581,0.166308,5.22029
1000000,30700,8,0.0317274,0.166316,5.24202
1000000,30800,8,0.0331945,0.167265,5.03893
1000000,30900,8,0.0333852,0.166329,4.98211
1000000,31000,8,0.0321997,0.165935,5.1533
1000000,31100,8,0.0329952,0.166436,5.04424
1000000,31200,8,0.032795,0.1656,5.04955
1000000,31300,8,0.029536,0.166201,5.62707
1000000,31400,8,0.0297663,0.166047,5.57837
1000000,31500,8,0.0320455,0.165527,5.16536
1000000,31600,8,0.0293584,0.165555,5.63911
1000000,31700,8,0.0307589,0.165678,5.38635
1000000,31800,8,0.032187,0.165867,5.15322
1000000,31900,8,0.033414,0.167282,5.00636
1000000,32000,8,0.0322382,0.165529,5.13455
1000000,32100,8,0.0332441,0.165498,4.97827
1000000,32200,8,0.0309936,0.166628,5.37622
1000000,32300,8,0.0291839,0.16713,5.72677
1000000,32400,8,0.0320074,0.166743,5.2095
1000000,32500,8,0.0322598,0.16665,5.16588
1000000,32600,8,0.0316132,0.166522,5.26749
1000000,32700,8,0.0326219,0.166082,5.09111
1000000,32800,8,0.0320156,0.165917,5.18239
1000000,32900,8,0.0288636,0.165484,5.73332
1000000,33000,8,0.032721,0.166316,5.08286
1000000,33100,8,0.033297,0.16536,4.96622
1000000,33200,8,0.0330336,0.167104,5.0586
1000000,33300,8,0.0282989,0.165676,5.85452
1000000,33400,8,0.0299793,0.165401,5.51716
1000000,33500,8,0.0315143,0.165491,5.25128
1000000,33600,8,0.0321075,0.165628,5.15857
1000000,33700,8,0.0312081,0.165567,5.30525
1000000,33800,8,0.033113,0.165796,5.00699
1000000,33900,8,0.0331636,0.165609,4.99368
1000000,34000,8,0.0312615,0.165696,5.30032
1000000,34100,8,0.0304476,0.167417,5.49851
1000000,34200,8,0.0331848,0.165458,4.98595
1000000,34300,8,0.0335012,0.165853,4.95066
1000000,34400,8,0.032757,0.165772,5.06065
1000000,34500,8,0.0328408,0.166026,5.05549
1000000,34600,8,0.0303403,0.166906,5.50114
1000000,34700,8,0.0332565,0.16679,5.01525
1000000,34800,8,0.0289457,0.166395,5.74852
1000000,34900,8,0.0333117,0.166052,4.98479
1000000,35000,8,0.0299037,0.166573,5.57031
1000000,35100,8,0.0292716,0.1664,5.68469
1000000,35200,8,0.0336443,0.166101,4.93697
1000000,35300,8,0.0313984,0.166246,5.29472
1000000,35400,8,0.030394,0.166097,5.46478
1000000,35500,8,0.0332248,0.166108,4.99953
1000000,35600,8,0.0334849,0.166161,4.96226
1000000,35700,8,0.0331686,0.16735,5.04544
1000000,35800,8,0.0330477,0.165767,5.01598
1000000,35900,8,0.0316025,0.166257,5.26087
1000000,36000,8,0.0302426,0.16604,5.49025
1000000,36100,8,0.0336673,0.165923,4.92831
1000000,36200,8,0.0298511,0.166308,5.57124
1000000,36300,8,0.0323355,0.166783,5.15788
1000000,36400,8,0.0327126,0.167003,5.10517
1000000,36500,8,0.0337613,0.166042,4.91812
1000000,36600,8,0.0331385,0.166367,5.02035
1000000,36700,8,0.033154,0.166232,5.01392
1000000,36800,8,0.0304648,0.167365,5.49371
1000000,36900,8,0.0310345,0.165788,5.34206
1000000,37000,8,0.0303665,0.167285,5.50887
1000000,37100,8,0.0323493,0.165772,5.12442
1000000,37200,8,0.0328252,0.165843,5.05231
1000000,37300,8,0.0326002,0.166168,5.09715
1000000,37400,8,0.0334433,0.167202,4.99955
1000000,37500,8,0.0320304,0.165695,5.17305
1000000,37600,8,0.0330221,0.166177,5.0323
1000000,37700,8,0.030351,0.167077,5.50481
1000000,37800,8,0.0297085,0.165761,5.5796
1000000,37900,8,0.0328046,0.16596,5.05905
1000000,38000,8,0.0315399,0.16636,5.27459
1000000,38100,8,0.0316333,0.165798,5.24124
1000000,38200,8,0.0314269,0.166416,5.29533
1000000,38300,8,0.031076,0.165814,5.33576
1000000,38400,8,0.0291727,0.165704,5.68011
1000000,38500,8,0.0326004,0.166115,5.09549
1000000,38600,8,0.0331914,0.166123,5.00499
1000000,38700,8,0.0320171,0.167192,5.22197
1000000,38800,8,0.03117,0.165829,5.32013
1000000,38900,8,0.032841,0.165332,5.03431
1000000,39000,8,0.0330213,0.165639,5.01614
1000000,39100,8,0.0328274,0.166226,5.06363
1000000,39200,8,0.0337007,0.165936,4.9238
1000000,39300,8,0.029147,0.165979,5.69456
1000000,39400,8,0.0325248,0.165415,5.08582
1000000,39500,8,0.0334818,0.16571,4.94926
1000000,39600,8,0.0359625,0.165781,4.60982
1000000,39700,8,0.0327701,0.165817,5.06001
1000000,39800,8,0.030083,0.167291,5.56099
1000000,39900,8,0.031691,0.165401,5.21917
1000000,40000,8,0.0324079,0.167488,5.16813
1000000,40100,8,0.0354739,0.169044,4.76529
1000000,40200,8,0.035854,0.168948,4.71211
1000000,40300,8,0.0321853,0.167193,5.19471
1000000,40400,8,0.0294567,0.167613,5.69014
1000000,40500,8,0.0330805,0.167112,5.05168
1000000,40600,8,0.0332993,0.16723,5.02202
1000000,40700,8,0.0290783,0.1675,5.7603
1000000,40800,8,0.0331509,0.167175,5.04286
1000000,40900,8,0.0331976,0.167168,5.03554
1000000,41000,8,0.0336321,0.166945,4.96384
1000000,41100,8,0.0327336,0.167143,5.10617
1000000,41200,8,0.0299505,0.167046,5.5774
1000000,41300,8,0.0330386,0.167022,5.05535
1000000,41400,8,0.0331981,0.167298,5.0394
